id,url,nickname,dob,nationality,address,association,class,height,weight,name
19,/fighter/Royce-Gracie-19,,1966-12-12,Brazil,Rio de Janeiro,Gracie Humaita,Middleweight,182.88,79.83,Royce Gracie
15,/fighter/Gerard-Gordeau-15,,1955-03-30,Netherlands,The Hague,Kamakura,Heavyweight,195.58,97.98,Gerard Gordeau
22,/fighter/Jason-DeLucia-22,,1969-07-24,United States,"Bellingham, Massachusets",,Light Heavyweight,180.34,86.18,Jason DeLucia
23,/fighter/Trent-Jenkins-23,,N/A,United States,"Denver, Colorado",,Middleweight,187.96,83.91,Trent Jenkins
4,/fighter/Ken-Shamrock-4,The World's Most Dangerous Man,1964-02-11,United States,"San Diego, California",Lion's Den,Heavyweight,185.42,96.16,Ken Shamrock
17,/fighter/Kevin-Rosier-17,,1962-01-06,United States,"Tampa, Florida",,Heavyweight,193.04,120.2,Kevin Rosier
21,/fighter/Patrick-Smith-21,,1963-08-28,United States,"Denver, Colorado",,Heavyweight,187.96,102.06,Patrick Smith
20,/fighter/Art-Jimmerson-20,,1963-08-04,United States,"St. Louis, Missouri",,Light Heavyweight,185.42,88.9,Art Jimmerson
18,/fighter/Zane-Frazier-18,Nasty,1966-07-16,United States,"North Hollywood, California",,Heavyweight,198.12,104.33,Zane Frazier
16,/fighter/Teila-Tuli-16,,1969-06-14,United States,"Honolulu, Hawaii",,Super Heavyweight,187.96,188.24,Teila Tuli
33,/fighter/Remco-Pardoel-33,Grizzly,N/A,Holland,Oss,Pardoel Sports,Heavyweight,187.96,113.4,Remco Pardoel
27,/fighter/Johnny-Rhodes-27,,N/A,United States,"Las Vegas, Nevada",,Heavyweight,182.88,95.25,Johnny Rhodes
31,/fighter/Orlando-Wiet-31,The Gladiator,1965-10-24,France,Nancy,Team Wiet,Welterweight,177.8,77.11,Orlando Wiet
36,/fighter/Fred-Ettish-36,,1955-10-12,United States,"Bemiji, Minnesota",,Middleweight,182.88,81.65,Fred Ettish
24,/fighter/Scott-Morris-24,,N/A,United States,"Arlington, Texas",,Heavyweight,182.88,95.25,Scott Morris
35,/fighter/Minoki-Ichihara-35,,N/A,Japan,Tokyo,,Middleweight,170.18,80.74,Minoki Ichihara
34,/fighter/Scott-Baker-34,,N/A,United States,Utah,,Heavyweight,182.88,95.25,Scott Baker
37,/fighter/Alberto-Cerra-Leon-37,,N/A,Spain,Lemoa,,Heavyweight,172.72,104.78,Alberto Cerra Leon
32,/fighter/Robert-Lucarelli-32,,N/A,United States,"Schenectady, New York",,Heavyweight,187.96,111.13,Robert Lucarelli
29,/fighter/Frank-Hamaker-29,,N/A,Netherlands,Amsterdam,,Heavyweight,187.96,111.13,Frank Hamaker
30,/fighter/Thaddeus-Luster-30,,N/A,United States,"Van Nuys, California",,Light Heavyweight,190.5,90.72,Thaddeus Luster
28,/fighter/David-Levicki-28,,N/A,United States,"Orem, Utah",,Super Heavyweight,195.58,131.54,David Levicki
26,/fighter/Ray-Wizard-26,,N/A,United States,"Los Angeles, California",,N/A,,,Ray Wizard
25,/fighter/Sean-Daugherty-25,,1975-12-04,United States,"Akron, Ohio",,Light Heavyweight,177.8,86.18,Sean Daugherty
44,/fighter/Steve-Jennum-44,,N/A,United States,"Omaha, Nebraska",,Heavyweight,177.8,97.52,Steve Jennum
41,/fighter/Harold-Howard-41,,N/A,Canada,"Niagara Falls, Ontario",,Heavyweight,187.96,108.86,Harold Howard
45,/fighter/Felix-Mitchell-45,,N/A,United States,"Antioch, Tennessee",,Heavyweight,180.34,99.79,Felix Mitchell
43,/fighter/Kimo-Leopoldo-43,,1968-01-04,United States,"Huntington Beach, California",Freelance,Heavyweight,190.5,106.59,Kimo Leopoldo
42,/fighter/Roland-Payne-42,,1964-07-16,United States,"Charlotte, North Carolina",,Light Heavyweight,175.26,92.99,Roland Payne
40,/fighter/Christophe-Leninger-40,,1962-07-16,United States,"Scottsdale, Arizona",,Light Heavyweight,182.88,90.72,Christophe Leninger
38,/fighter/Keith-Hackney-38,The Giant Killer,1958-04-15,United States,"Addison, Illinois",,Light Heavyweight,180.34,90.72,Keith Hackney
39,/fighter/Emmanuel-Yarborough-39,Manny,1964-09-05,United States,"Rahway, New Jersey",Freelance,Super Heavyweight,203.2,272.16,Emmanuel Yarborough
52,/fighter/Dan-Severn-52,The Beast,1958-06-08,United States,"Coldwater, Michigan",The Beast Academy,Heavyweight,187.96,114.76,Dan Severn
14,/fighter/Guy-Mezger-14,The Sandman,1968-01-01,United States,"Houston, Texas",Lion's Den Dallas,Light Heavyweight,185.42,90.72,Guy Mezger
48,/fighter/Jason-Fairn-48,Bonecracker,1973-07-16,Canada,"Vancouver, British Columbia",Fairn Jiu-Jitsu,Heavyweight,185.42,104.33,Jason Fairn
54,/fighter/Marcus-Bossett-54,The Grasshopper,N/A,United States,"Los Angeles, California",,Heavyweight,185.42,99.79,Marcus Bossett
53,/fighter/Anthony-Macias-53,Mad Dog,1969-07-16,United States,"Oklahoma City, Oklahoma",USA Stars,Welterweight,177.8,77.11,Anthony Macias
51,/fighter/Melton-Bowen-51,The Punisher,1969-03-10,United States,"Irmo, South Carolina",,Heavyweight,182.88,102.06,Melton Bowen
50,/fighter/Joe-Son-50,,1970-11-20,United States,"Huntington Beach, California",,Heavyweight,162.56,107.05,Joe Son
49,/fighter/Ron-van-Clief-49,Black Dragon,N/A,United States,"Brooklyn, New York",,Light Heavyweight,177.8,86.18,Ron van Clief
55,/fighter/Eldo-Dias-Xavier-55,,1964-07-16,Brazil,,,Middleweight,180.34,81.65,Eldo Dias Xavier
46,/fighter/Joe-Charles-46,The Ghetto Man,1958-07-16,United States,"Culver City, California",,Heavyweight,185.42,117.93,Joe Charles
56,/fighter/Dave-Beneteau-56,Dangerous,1968-07-16,Canada,"Windsor, Ontario",,Heavyweight,187.96,113.4,Dave Beneteau
47,/fighter/Oleg-Taktarov-47,The Russian Bear,1967-08-26,Russia,Nizhny Novgorod,Freelance,Heavyweight,182.88,95.25,Oleg Taktarov
61,/fighter/Todd-Medina-61,El Tiburon,1970-04-30,United States,"Santa Ana, California",Carlson Gracie Jiu-Jitsu,Light Heavyweight,177.8,92.99,Todd Medina
63,/fighter/Ernie-Verdicia-63,,N/A,United States,"Miami, Florida",,Heavyweight,177.8,99.34,Ernie Verdicia
62,/fighter/Larry-Cureton-62,,N/A,United States,"Jersey City, New Jersey",,Heavyweight,187.96,112.49,Larry Cureton
59,/fighter/Jon-Hess-59,The Giant With Attitude,N/A,United States,"Encinitas, California",Team Quest,Super Heavyweight,200.66,133.81,Jon Hess
60,/fighter/Andy-Anderson-60,The Hammer,1964-07-16,United States,"Arlington, Texas",,Heavyweight,175.26,108.86,Andy Anderson
58,/fighter/John-Dowdy-58,,N/A,United States,"Morganton, North Carolina",,N/A,,,John Dowdy
57,/fighter/Asbel-Cancio-57,,N/A,United States,"Miami, Florida",,Heavyweight,177.8,102.06,Asbel Cancio
110,/fighter/David-Abbott-110,Tank,1965-04-26,United States,"Huntington Beach, California",,Heavyweight,182.88,113.4,David Abbott
112,/fighter/Paul-Varelans-112,The Polar Bear,1969-09-17,United States,"Fairbanks, Alaska",,Super Heavyweight,203.2,136.08,Paul Varelans
114,/fighter/Rudyard-Moncayo-114,,N/A,United States,"Santa Ana, California",,Light Heavyweight,177.8,92.99,Rudyard Moncayo
113,/fighter/Cal-Worsham-113,,1963-06-11,United States,"Folsom, California",Worsham Team X,Heavyweight,177.8,104.33,Cal Worsham
111,/fighter/John-Matua-111,,N/A,United States,"Garden Grove, California",,Super Heavyweight,187.96,181.44,John Matua
109,/fighter/HeMan-Ali-Gipson-109,,1973-03-01,United States,"Las Vegas, Nevada",,Heavyweight,,97.98,He-Man Ali Gipson
107,/fighter/Joel-Sutton-107,,N/A,United States,"Buffalo, New York",,Light Heavyweight,177.8,91.63,Joel Sutton
885,/fighter/Jack-McLaughlin-885,,1961-10-01,United States,"Piqua, Ohio",,Heavyweight,177.8,98.88,Jack McLaughlin
120,/fighter/Marco-Ruas-120,The King of the Streets,1961-01-23,Brazil,Rio De Janeiro,Ruas Vale Tudo,Heavyweight,185.42,95.25,Marco Ruas
118,/fighter/Mark-Hall-118,The Cobra,N/A,United States,"Murrieta, California",,Light Heavyweight,182.88,86.18,Mark Hall
119,/fighter/Ryan-Parker-119,,N/A,United States,"Moorehead, Minnesota",,Heavyweight,190.5,106.59,Ryan Parker
83,/fighter/Gerry-Harris-83,,N/A,United States,,,Super Heavyweight,203.2,141.97,Gerry Harris
121,/fighter/Scott-Bessac-121,,N/A,United States,"Lodi, California",,Heavyweight,193.04,117.48,Scott Bessac
1720,/fighter/David-Hood-1720,,N/A,United States,"Lowell, Massachusetts",,Light Heavyweight,182.88,85.73,David Hood
116,/fighter/Onassis-Parungao-116,,N/A,,,,N/A,,,Onassis Parungao
