pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,11,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Jorge-Masvidal-7688,/fighter/Nick-Agallar-2295,Jorge Masvidal,Nick Agallar,win,loss,7688,2295,Method TKO (Punches),,Referee Jason Herzog,1,1:19
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,10,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Eddie-Alvarez-9265,/fighter/Greg-Loughran-5234,Eddie Alvarez,Greg Loughran,win,loss,9265,5234,Submission (Guillotine Choke),,Troy Waugh,1,2:44
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,9,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Yahir-Reyes-6114,/fighter/Nick-Gonzalez-6726,Yahir Reyes,Nick Gonzalez,win,loss,6114,6726,Submission (Rear-Naked Choke),,Troy Waugh,1,2:11
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,8,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Estevan-Payan-24952,/fighter/Luis-Palomino-16697,Estevan Payan,Luis Palomino,win,loss,24952,16697,Decision (Split),,Jason Herzog,3,5:00
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,7,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Joe-Soto-17004,/fighter/Ben-Greer-8626,Joe Soto,Ben Greer,win,loss,17004,8626,TKO (Punches),,Frank Gentile,1,3:40
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,6,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Toby-Imada-514,/fighter/Alonzo-Martinez-3553,Toby Imada,Alonzo Martinez,win,loss,514,3553,Submission (Rear-Naked Choke),,Troy Waugh,1,3:26
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,5,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Jonathan-Brookins-17316,/fighter/Stephen-Ledbetter-16634,Jonathan Brookins,Stephen Ledbetter,win,loss,17316,16634,Submission (Rear-Naked Choke),,Frank Gentile,1,3:32
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,4,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Lorenzo-Borgomeo-22427,/fighter/Daniel-Morales-16841,Lorenzo Borgomeo,Daniel Morales,win,loss,22427,16841,Submission (Rear-Naked Choke),,Jason Herzog,3,3:46
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,3,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/James-Brasco-23629,/fighter/Kevin-Abrante-30801,James Brasco,Kevin Abrante,win,loss,23629,30801,Submission (Armbar),,Frank Gentile,1,2:14
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,2,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Moyses-Gabin-25169,/fighter/Chris-Decaro-44367,Moyses Gabin,Chris Decaro,win,loss,25169,44367,Submission (Triangle Choke),,Jason Herzog,1,1:33
/events/BFC-Bellator-Fighting-Championships-1-9708,9708,1,BFC - Bellator Fighting Championships 1,Bellator MMA,4/3/2009,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Gary-Padilla-14754,/fighter/Daniel-Sarafian-17665,Gary Padilla,Daniel Sarafian,win,loss,14754,17665,TKO (Punches),,Frank Gentile,2,3:04
/events/BFC-Bellator-Fighting-Championships-2-9754,9754,9,BFC - Bellator Fighting Championships 2,Bellator MMA,4/10/2009,"Mohegan Sun Arena, Uncasville, Connecticut, United States",/fighter/Josh-LaBerge-30441,/fighter/Chris-Simmons-23779,Josh LaBerge,Chris Simmons,win,loss,30441,23779,Method Decision (Unanimous),,Referee Kevin Mulhall,3,5:00
/events/BFC-Bellator-Fighting-Championships-2-9754,9754,8,BFC - Bellator Fighting Championships 2,Bellator MMA,4/10/2009,"Mohegan Sun Arena, Uncasville, Connecticut, United States",/fighter/Wilson-Reis-23401,/fighter/Henry-Martinez-13237,Wilson Reis,Henry Martinez,win,loss,23401,13237,Decision (Unanimous),,Dan Miragliotta,3,5:00
/events/BFC-Bellator-Fighting-Championships-2-9754,9754,7,BFC - Bellator Fighting Championships 2,Bellator MMA,4/10/2009,"Mohegan Sun Arena, Uncasville, Connecticut, United States",/fighter/Lyman-Good-14207,/fighter/Hector-Urbina-18168,Lyman Good,Hector Urbina,win,loss,14207,18168,Technical Submission (Rear-Naked Choke),,Dan Miragliotta,2,3:22
/events/BFC-Bellator-Fighting-Championships-2-9754,9754,6,BFC - Bellator Fighting Championships 2,Bellator MMA,4/10/2009,"Mohegan Sun Arena, Uncasville, Connecticut, United States",/fighter/Jorge-Ortiz-4630,/fighter/Aaron-Romero-11876,Jorge Ortiz,Aaron Romero,win,loss,4630,11876,Decision (Unanimous),,Kevin Mulhall,3,5:00
/events/BFC-Bellator-Fighting-Championships-2-9754,9754,5,BFC - Bellator Fighting Championships 2,Bellator MMA,4/10/2009,"Mohegan Sun Arena, Uncasville, Connecticut, United States",/fighter/Eric-Reynolds-20976,/fighter/Thomas-Schulte-2956,Eric Reynolds,Thomas Schulte,win,loss,20976,2956,TKO (Head Kick and Punches),,Kevin Mulhall,1,4:17
