pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,10,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Andrei-Arlovski-270,/fighter/Devin-Cole-13370,Andrei Arlovski,Devin Cole,win,loss,270,13370,Method TKO (Punches),,Referee Steve Mazzagatti,1,2:37
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,9,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Anthony-Johnson-17662,/fighter/DJ-Linderman-30279,Anthony Johnson,D.J. Linderman,win,loss,17662,30279,KO (Punch),,Herb Dean,1,3:58
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,8,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Marlon-Moraes-30936,/fighter/Miguel-Torres-3006,Marlon Moraes,Miguel Torres,win,loss,30936,3006,Decision (Split),,Kim Winslow,3,5:00
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,7,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Tyrone-Spong-113237,/fighter/Travis-Bartlett-22083,Tyrone Spong,Travis Bartlett,win,loss,113237,22083,KO (Punch),,Steve Mazzagatti,1,3:15
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,6,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Tyson-Steele-40746,/fighter/Gregor-Gracie-23007,Tyson Steele,Gregor Gracie,win,loss,40746,23007,TKO (Knee and Punches),,Chris Tognoni,1,4:52
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,5,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Brian-Cobb-5739,/fighter/Ronys-Torres-20447,Brian Cobb,Ronys Torres,win,loss,5739,20447,Decision (Split),,Herb Dean,3,5:00
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,4,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Steve-Carl-15123,/fighter/Ramico-Blackmon-42101,Steve Carl,Ramico Blackmon,win,loss,15123,42101,Submission (Rear-Naked Choke),,Kim Winslow,1,2:11
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,3,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Joshua-Burkman-10003,/fighter/Gerald-Harris-17903,Joshua Burkman,Gerald Harris,win,loss,10003,17903,Decision (Unanimous),,Chris Tognoni,3,5:00
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,2,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/Gesias-Cavalcante-9771,/fighter/TJ-OBrien-22127,Gesias Cavalcante,T.J. O'Brien,win,loss,9771,22127,Submission (Heel Hook),,Steve Mazzagatti,1,1:03
/events/WSOF-1-Arlovski-vs-Cole-24535,24535,1,WSOF 1 - Arlovski vs. Cole,World Series of Fighting,11/3/2012,"Planet Hollywood Resort & Casino, Las Vegas, Nevada, United States",/fighter/David-Branch-32431,/fighter/Dustin-Jacoby-73825,David Branch,Dustin Jacoby,win,loss,32431,73825,Decision (Unanimous),,Herb Dean,3,5:00
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,12,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Anthony-Johnson-17662,/fighter/Andrei-Arlovski-270,Anthony Johnson,Andrei Arlovski,win,loss,17662,270,Method Decision (Unanimous),,Referee Kevin Mulhall,3,5:00
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,11,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Marlon-Moraes-30936,/fighter/Tyson-Nam-15224,Marlon Moraes,Tyson Nam,win,loss,30936,15224,KO (Head Kick and Punches),,Kevin Peterson,1,2:55
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,10,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/David-Branch-32431,/fighter/Paulo-Filho-1535,David Branch,Paulo Filho,win,loss,32431,1535,Decision (Unanimous),,Kevin Mulhall,3,5:00
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,9,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Joshua-Burkman-10003,/fighter/Aaron-Simpson-24986,Joshua Burkman,Aaron Simpson,win,loss,10003,24986,TKO (Knee and Punches),,Dan Miragliotta,1,3:04
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,8,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Justin-Gaethje-46648,/fighter/Gesias-Cavalcante-9771,Justin Gaethje,Gesias Cavalcante,win,loss,46648,9771,TKO (Doctor Stoppage),,Keith Peterson,1,2:27
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,7,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Danillo-Villefort-13093,/fighter/Kris-McCray-39432,Danillo Villefort,Kris McCray,win,loss,13093,39432,Decision (Split),,Kevin Mulhall,3,5:00
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,6,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Rick-Glenn-20171,/fighter/Alexandre-Pimentel-28182,Rick Glenn,Alexandre Pimentel,win,loss,20171,28182,KO (Punches),,Dan Miragliotta,3,1:51
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,5,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Waylon-Lowe-18744,/fighter/Cameron-Dollar-25531,Waylon Lowe,Cameron Dollar,win,loss,18744,25531,KO (Punch),,Keith Peterson,1,2:58
/events/WSOF-2-Arlovski-vs-Johnson-27943,27943,4,WSOF 2 - Arlovski vs. Johnson,World Series of Fighting,3/23/2013,"Revel Resort & Casino, Atlantic City, New Jersey, United States",/fighter/Richard-Patishnock-76342,/fighter/Igor-Gracie-16481,Richard Patishnock,Igor Gracie,win,loss,76342,16481,TKO (Doctor Stoppage),,Keith Peterson,1,5:00
